Type;Model;Method;Seconds;IsReconciled
Hierarchical;ARIMA;BU;32.944;1
Hierarchical;ARIMA;BU;32.506;1
Hierarchical;ARIMA;BU;32.896;1
Hierarchical;ARIMA;BU;32.905;1
Hierarchical;ARIMA;BU;32.733;1
Hierarchical;ARIMA;BU;33.172;1
Hierarchical;ARIMA;BU;32.702;1
Hierarchical;ARIMA;BU;32.792;1
Hierarchical;ARIMA;BU;33.078;1
Hierarchical;ARIMA;BU;33.018;1
Hierarchical;ARIMA;OLS;32.792;1
Hierarchical;ARIMA;OLS;32.9;1
Hierarchical;ARIMA;OLS;32.966;1
Hierarchical;ARIMA;OLS;32.828;1
Hierarchical;ARIMA;OLS;32.936;1
Hierarchical;ARIMA;OLS;32.848;1
Hierarchical;ARIMA;OLS;32.636;1
Hierarchical;ARIMA;OLS;32.815;1
Hierarchical;ARIMA;OLS;32.888;1
Hierarchical;ARIMA;OLS;32.726;1
Hierarchical;ARIMA;MinT;32.688;1
Hierarchical;ARIMA;MinT;33.201;1
Hierarchical;ARIMA;MinT;32.724;1
Hierarchical;ARIMA;MinT;32.854;1
Hierarchical;ARIMA;MinT;33.042;1
Hierarchical;ARIMA;MinT;32.737;1
Hierarchical;ARIMA;MinT;33.329;1
Hierarchical;ARIMA;MinT;32.719;1
Hierarchical;ARIMA;MinT;32.813;1
Hierarchical;ARIMA;MinT;33.109;1
Hierarchical;ARIMA;TD;32.532;1
Hierarchical;ARIMA;TD;32.597;1
Hierarchical;ARIMA;TD;32.525;1
Hierarchical;ARIMA;TD;32.836;1
Hierarchical;ARIMA;TD;32.572;1
Hierarchical;ARIMA;TD;32.629;1
Hierarchical;ARIMA;TD;32.776;1
Hierarchical;ARIMA;TD;32.508;1
Hierarchical;ARIMA;TD;32.573;1
Hierarchical;ARIMA;TD;32.803;1
Hierarchical;ETS;BU;15.609;1
Hierarchical;ETS;BU;15.243;1
Hierarchical;ETS;BU;15.281;1
Hierarchical;ETS;BU;15.47;1
Hierarchical;ETS;BU;15.284;1
Hierarchical;ETS;BU;15.529;1
Hierarchical;ETS;BU;15.224;1
Hierarchical;ETS;BU;15.312;1
Hierarchical;ETS;BU;15.51;1
Hierarchical;ETS;BU;15.269;1
Hierarchical;ETS;OLS;15.733;1
Hierarchical;ETS;OLS;15.499;1
Hierarchical;ETS;OLS;15.576;1
Hierarchical;ETS;OLS;15.695;1
Hierarchical;ETS;OLS;15.461;1
Hierarchical;ETS;OLS;15.696;1
Hierarchical;ETS;OLS;15.453;1
Hierarchical;ETS;OLS;15.511;1
Hierarchical;ETS;OLS;15.696;1
Hierarchical;ETS;OLS;15.518;1
Hierarchical;ETS;MinT;15.764;1
Hierarchical;ETS;MinT;15.43;1
Hierarchical;ETS;MinT;15.484;1
Hierarchical;ETS;MinT;15.666;1
Hierarchical;ETS;MinT;15.49;1
Hierarchical;ETS;MinT;15.755;1
Hierarchical;ETS;MinT;15.44;1
Hierarchical;ETS;MinT;15.459;1
Hierarchical;ETS;MinT;15.658;1
Hierarchical;ETS;MinT;15.475;1
Hierarchical;ETS;TD;15.513;1
Hierarchical;ETS;TD;15.241;1
Hierarchical;ETS;TD;15.583;1
Hierarchical;ETS;TD;15.238;1
Hierarchical;ETS;TD;15.289;1
Hierarchical;ETS;TD;15.503;1
Hierarchical;ETS;TD;15.226;1
